userId,itemId,realPref,svdPref,svdPlusPlusPref,userPref,itemPref
36384,5048,4.0,3.9839773,14.307789,-2.0,-2.0
24768,5051,5.0,4.715727,6.717604,-2.0,4.8803515
8724,5310,5.0,2.9049585,3.9033887,-2.0,-2.0
16257,2580,5.0,4.053056,5.9187126,3.910117,4.1510777
35900,9534,4.0,-1.0,-1.0,-1.0,-1.0
38692,7853,5.0,4.4138546,5.396454,4.286037,3.9292548
4321,1869,2.0,3.8994563,5.320903,-2.0,-2.0
37577,4627,5.0,4.784054,7.314575,4.6339746,5.0
14074,8960,5.0,-1.0,-1.0,-1.0,-1.0
34371,10508,4.0,4.009615,5.0017953,-2.0,4.539504
22024,749,4.0,3.6197808,8.642013,-2.0,3.0701852
20430,11080,4.0,3.9181242,6.9251776,-2.0,3.4480186
1104,10528,4.0,3.4368055,5.0565886,-2.0,-2.0
27622,96,4.0,3.6486433,5.651496,-2.0,-2.0
35614,10643,4.0,3.2602267,3.1464527,-2.0,-2.0
5605,3621,4.0,3.885465,5.549099,3.9636638,3.1242912
42903,2580,5.0,5.445323,11.513897,-2.0,-2.0
4693,7205,4.0,3.7048697,8.781341,-2.0,-2.0
36370,11170,2.0,3.5055823,4.3812094,3.3608882,3.909091
2135,5346,3.0,2.7114222,3.4898098,3.0294101,1.0
38531,5393,1.0,-1.0,-1.0,-1.0,-1.0
40302,2112,1.0,3.9583771,6.5897937,4.0,2.928721
37394,362,4.0,3.0556676,4.2172413,3.192361,4.8058667
24031,3654,4.0,2.355917,5.895993,-2.0,-2.0
37739,9459,4.0,3.5213888,6.070558,4.0290256,1.7607117
2645,1539,5.0,4.7958465,4.9098887,-2.0,-2.0
35243,933,4.0,3.124234,5.1529403,3.8640275,1.9956491
37911,10777,5.0,3.7133887,9.513707,-2.0,5.0
10954,6958,4.0,3.150625,5.736183,3.5168602,1.5935758
7964,4105,4.0,3.5830703,4.8087296,-2.0,2.0367632
13910,9574,5.0,5.0041857,5.3624406,-2.0,-2.0
1284,5958,5.0,3.797381,7.07801,-2.0,-2.0
33059,4902,3.0,3.450431,4.40593,-2.0,-2.0
15405,72,3.0,-1.0,-1.0,-1.0,-1.0
5443,10552,2.0,0.59806293,3.2379043,-2.0,-2.0
5526,6501,3.0,3.5388265,2.9552207,-2.0,-2.0
25786,7633,4.0,-1.0,-1.0,-1.0,-1.0
11389,11353,4.0,3.4822726,4.114104,4.7860613,2.2362921
33882,2580,5.0,3.7579093,5.390187,4.082817,2.7138789
23576,8998,5.0,1.7966398,9.94839,-2.0,-2.0
8890,2323,5.0,3.6936004,5.504553,3.8142703,5.0
21213,8290,4.0,3.247459,4.0838447,3.1669319,5.0
23707,9391,3.0,0.12491427,2.2585979,-2.0,-2.0
36306,5332,5.0,1.873812,9.195367,-2.0,-2.0
26701,2865,5.0,-1.0,-1.0,-1.0,-1.0
39137,9743,5.0,4.5529685,5.719755,3.0,4.30564
16822,8126,5.0,4.681815,5.3624344,3.760829,5.0
33273,11082,5.0,4.5573535,6.129168,4.8012376,4.3432846
30304,5799,2.0,2.2552636,3.166955,-2.0,2.0
9969,10682,5.0,4.044501,6.743704,-2.0,-2.0
19414,5040,4.0,2.699266,4.5848017,-2.0,-2.0
37896,2560,2.0,2.8704343,4.9305086,3.3333333,1.0
27481,2505,4.0,3.844799,8.339378,-2.0,-2.0
28684,8302,5.0,-1.0,-1.0,-2.0,-1.0
7849,1393,5.0,4.602396,7.589333,-2.0,-2.0
291,4905,5.0,3.7117472,3.5565608,-2.0,-2.0
42278,3319,5.0,-1.0,-1.0,-1.0,-1.0
3996,7023,1.0,3.4439564,3.5239172,3.3973641,4.6954026
4506,8905,4.0,4.0989666,8.313681,3.392305,5.0
41470,11487,5.0,3.5874193,4.80922,3.706952,5.0
25835,6931,4.0,3.449277,9.917639,-2.0,-2.0
40611,5499,5.0,4.6697097,12.91568,5.0,5.0
3187,3784,4.0,3.9387474,4.8794565,-2.0,-2.0
41490,431,1.0,3.627249,4.458014,-2.0,3.0
34962,5265,4.0,4.1991696,6.951384,-2.0,-2.0
40939,949,2.0,3.3404386,4.472307,3.7481046,5.0
41839,6903,4.0,3.8445714,7.142555,-2.0,4.0
10800,1555,4.0,4.2782373,5.5149384,-2.0,3.0
22632,7002,3.0,4.373244,7.135008,-2.0,-2.0
42022,6842,4.0,4.069664,6.449741,-2.0,4.0
6531,3849,4.0,3.2306073,6.095589,-2.0,-2.0
9672,2533,1.0,-1.0,-1.0,-1.0,-1.0
10546,4917,5.0,4.2110353,6.820717,-2.0,-2.0
35182,1612,4.0,4.0279903,5.4551606,4.0,-2.0
7792,10556,5.0,3.7057748,3.9138443,-2.0,-2.0
37666,2116,4.0,2.8736534,5.0219846,-2.0,-2.0
19992,8530,3.0,2.2590327,3.8410492,-2.0,-2.0
42790,3328,5.0,4.7684655,4.478473,5.0,-2.0
22465,6961,5.0,6.1947293,3.066038,-2.0,-2.0
22013,558,1.0,2.9338117,4.5602317,-2.0,-2.0
16255,8554,2.0,2.864051,4.094891,-2.0,-2.0
35647,1029,5.0,4.272598,5.709935,4.329296,5.0
27231,6423,4.0,-1.0,-1.0,-1.0,-1.0
40655,6417,4.0,3.822442,4.1537623,4.1665955,-2.0
25412,6736,4.0,3.677871,4.8192554,4.4546156,3.503672
11399,3784,4.0,4.263301,5.481951,-2.0,-2.0
