userId,itemId,realPref,svdPref,svdPlusPlusPref,userPref,itemPref
36384,5048,4.0,4.075664,13.349846,4.33,4.5
24768,5051,5.0,4.60849,6.7884216,4.29,4.8803515
8724,5310,5.0,2.8760743,3.5035508,3.25,4.5
16257,2580,5.0,4.0704026,5.977409,3.9142687,4.1510777
35900,9534,4.0,3.42,3.42,3.42,3.0
38692,7853,5.0,4.3838143,5.692098,4.286037,3.9292548
4321,1869,2.0,3.9147363,4.847464,3.79,4.0
37577,4627,5.0,4.558703,7.4262767,4.6339746,5.0
14074,8960,5.0,5.0,5.0,5.0,4.0
34371,10508,4.0,3.6877704,4.879121,4.04,4.539504
22024,749,4.0,3.3805342,8.940303,4.04,3.0701852
20430,11080,4.0,2.7725787,6.5845823,4.04,3.4480186
1104,10528,4.0,3.668639,5.136097,3.55,3.5
27622,96,4.0,3.3186076,5.8211546,3.49,3.0
35614,10643,4.0,3.2236743,2.8602922,3.45,3.5
5605,3621,4.0,3.8310025,5.5282917,3.9636638,3.1242912
42903,2580,5.0,5.1539984,11.383964,4.75,4.0
4693,7205,4.0,3.4744525,8.057184,3.0,4.5
36370,11170,2.0,3.4338224,4.548689,3.3608882,3.909091
2135,5346,3.0,2.5782166,3.7173362,3.0294101,1.0
38531,5393,1.0,1.0,1.0,1.0,2.0
40302,2112,1.0,3.9820924,6.600949,4.0,2.928721
37394,362,4.0,3.01374,4.184769,3.192361,4.8058667
24031,3654,4.0,2.104192,5.675876,3.25,3.0
37739,9459,4.0,3.3353345,6.390634,4.0290256,1.7607117
2645,1539,5.0,4.7642765,4.8489017,3.71,5.0
35243,933,4.0,3.06973,5.1981034,3.8640275,1.9956491
37911,10777,5.0,2.9814854,9.569376,3.92,5.0
10954,6958,4.0,3.4969678,6.353101,3.5168602,1.5935758
7964,4105,4.0,3.5887568,5.0279794,3.64,2.0367632
13910,9574,5.0,3.5766408,4.0855546,4.27,3.5
1284,5958,5.0,3.5159836,7.443945,4.75,4.0
33059,4902,3.0,3.3066828,3.378979,3.36,4.0
15405,72,3.0,2.6,2.6,2.6,3.5
5443,10552,2.0,1.4418844,2.7853081,3.61,2.0
5526,6501,3.0,2.8207517,2.4547524,3.53,3.5
25786,7633,4.0,4.0,4.0,4.0,4.0
11389,11353,4.0,3.4680943,3.8860772,4.7860613,2.2362921
33882,2580,5.0,3.6972427,5.6994767,4.082817,2.7138789
23576,8998,5.0,1.7644205,9.284043,3.67,3.5
8890,2323,5.0,3.7594912,5.5782156,3.8142703,5.0
21213,8290,4.0,3.216657,4.23464,3.1669319,5.0
23707,9391,3.0,0.080446295,1.9882212,3.74,3.0
36306,5332,5.0,0.83794636,8.88213,2.0,4.5
26701,2865,5.0,3.62,3.62,3.62,4.0
39137,9743,5.0,4.772673,5.7521687,3.0,4.30564
16822,8126,5.0,4.4449625,5.446661,3.760829,5.0
33273,11082,5.0,4.3986163,6.3940005,4.8012376,4.3432846
30304,5799,2.0,2.2612152,3.1657872,2.58,2.0
9969,10682,5.0,3.7682683,5.917938,4.0,3.5
19414,5040,4.0,3.3417652,4.585864,3.79,3.5
37896,2560,2.0,2.7267888,4.824665,3.3333333,1.0
27481,2505,4.0,3.9103208,8.516968,4.18,3.5
28684,8302,5.0,3.83,3.83,3.83,5.0
7849,1393,5.0,4.304839,7.018317,3.86,4.0
291,4905,5.0,4.3428206,3.249858,5.0,5.0
42278,3319,5.0,5.0,5.0,5.0,3.5
3996,7023,1.0,3.4091647,3.8465407,3.3904216,4.6954026
4506,8905,4.0,4.0843787,8.79603,3.392305,5.0
41470,11487,5.0,3.3241217,4.958769,3.706952,5.0
25835,6931,4.0,3.4131377,9.1483965,3.5,3.5
40611,5499,5.0,4.5653462,13.605517,5.0,5.0
3187,3784,4.0,3.9333055,5.28656,4.21,4.0
41490,431,1.0,3.3806481,4.0916853,3.32,3.0
34962,5265,4.0,3.9467509,6.599452,4.0,3.5
40939,949,2.0,3.329185,4.429074,3.760786,5.0
41839,6903,4.0,3.813168,6.7918453,3.95,4.0
10800,1555,4.0,2.6945405,5.035805,3.82,3.0
22632,7002,3.0,4.588899,7.2958765,3.61,3.5
42022,6842,4.0,3.8859808,6.6669536,3.95,4.0
6531,3849,4.0,3.048883,6.430819,3.22,4.0
9672,2533,1.0,1.0,1.0,1.0,3.0
10546,4917,5.0,4.0129037,6.500665,3.38,3.5
35182,1612,4.0,4.0291133,5.266087,4.0,4.5
7792,10556,5.0,3.670178,3.438456,3.32,4.5
37666,2116,4.0,2.9897728,3.4920588,3.82,4.5
19992,8530,3.0,2.4479604,3.961162,2.74,3.5
42790,3328,5.0,4.640965,3.979787,5.0,5.0
22465,6961,5.0,1.320116,2.5545552,3.96,4.5
22013,558,1.0,2.8906524,4.4403744,3.59,3.0
