"userId","avg_stars"
1,5
2,1
3,5
4,5
5,1
6,3.79
7,3.83
8,3
9,4.5
10,3.9
11,3.4
12,3.4
13,3.39
14,2.88
15,5
16,2.12
17,4.75
18,4.23
19,3.64
20,3.75
21,2.5
22,3.79
23,4.5
24,4
25,3.67
26,5
27,5
28,3
29,3.62
30,4.5
31,5
32,3.8
33,3.86
34,5
35,3.17
36,4
37,1.33
38,3.75
39,5
40,2.62
41,4.33
42,3.79
43,3.89
44,4
45,4.2
46,4.27
47,3.87
48,4.07
49,5
50,4.11
51,4.78
52,2
53,4.33
54,3.82
55,3.51
56,5
57,3.88
58,3.14
59,4
60,1.5
61,5
62,4.14
63,4.33
64,5
65,3.55
66,3.91
67,2.5
68,4.25
69,4.31
70,2.33
71,3
72,3
73,3.3
74,4.33
75,3.81
76,5
77,3.52
78,3.81
79,3.95
80,4.13
81,3.88
82,3.91
83,3.81
84,5
85,5
86,4.75
87,3.24
88,3.5
89,4
90,1
91,5
92,1
93,5
94,3.1
95,4.75
96,4.33
97,3
98,4
99,1
100,4.33
101,2.38
102,3.67
103,2.8
104,3.56
105,4
106,3.25
107,5
108,5
109,5
110,1
111,3.5
112,5
113,3.5
114,3.65
115,4.5
116,4.2
117,3.31
118,1
119,3.31
120,3.87
121,3
122,1
123,3.78
124,3
125,3.6
126,4.27
127,3.75
128,3.65
129,5
130,5
131,5
132,4
133,3.86
134,5
135,3.5
136,3.95
137,3.79
138,4
139,4
140,1.8
141,4.17
142,5
143,4
144,3.89
145,3.17
146,3.64
147,3.62
148,3.5
149,4.12
150,5
151,3.75
152,3.85
153,5
154,3.92
155,4.6
156,3.8
157,3.93
158,3.33
159,4
160,3.67
161,3.97
162,3.71
163,3
164,1.6
165,3.93
166,3.43
167,3.5
168,4.85
169,4
170,3.75
171,5
172,3.67
173,4.15
174,4
175,2.75
176,3.94
177,4.18
178,4.22
179,4
180,3.88
181,5
182,4.5
183,5
184,3.85
185,5
186,3.67
187,3.5
188,4.75
189,2.8
190,4.75
191,3.5
192,5
193,5
194,1
195,4
196,4.5
197,4.83
198,5
199,1
200,3.73
201,4
202,4.58
203,5
204,2.33
205,4.2
206,4
207,4
208,3.92
209,5
210,4.12
211,2.5
212,5
213,3.67
214,3.7
215,2.33
216,1.75
217,1
218,3
219,3.83
220,4.5
221,2.62
222,3.38
223,3.4
224,5
225,3
226,3.45
227,3.74
228,4.4
229,4
230,2.57
231,4
232,4.33
233,2.8
234,3
235,4.2
236,1
237,3.75
238,2
239,3.35
240,3.63
241,4
242,2
243,3.72
244,3.96
245,4.05
246,3.15
247,3.62
248,3.83
249,4
250,3.33
251,5
252,3.86
253,2.76
254,2
255,3.65
256,5
257,4.81
258,5
259,3.64
260,5
261,3.78
262,3.92
263,3.67
264,3.65
265,4.2
266,5
267,3.4
268,3.64
269,4.2
270,3.29
271,4
272,4.62
273,4
274,3.8
275,4.67
276,2.6
277,5
278,3.33
279,3.81
280,4.14
281,4.25
282,5
283,3.88
284,2.82
285,4.8
286,3.23
287,4.31
288,2.7
289,4.67
290,4.5
291,5
292,5
293,4.43
294,2
295,4.05
296,4.83
297,3.77
298,3
299,3.14
300,4
301,4
302,3.9
303,3.91
304,4
305,3
306,3.15
307,2.67
308,3.2
309,4
310,3.5
311,3.33
312,3.44
313,1
314,4.1
315,4.21
316,3.82
317,5
318,5
319,3.44
320,3.29
321,4.04
322,3.62
323,1
324,3.43
325,3.75
326,3.86
327,3.26
328,4.5
329,3.22
330,4
331,3.2
332,4.44
333,3.38
334,5
335,5
336,1.5
337,3
338,5
339,4.26
340,1
341,2.43
342,4
343,3.62
344,3.2
345,3.5
346,2
347,4
348,3.5
349,5
350,3.22
351,3.25
352,4
353,3.78
354,4.29
